domain_domain_interaction	count_new	frequency	domain_1	domain_2	domain1_description	domain2_description
2-Hacid_dh_C--Pkinase	1	3.1675641431739e-05	2-Hacid_dh_C	Pkinase	D-isomerspecific2-hydroxyaciddehydrogenase,NADbindingdomain	Proteinkinasedomain
7tm_1--Pkinase	1	3.1675641431739e-05	7tm_1	Pkinase	7transmembranereceptor(rhodopsinfamily)	Proteinkinasedomain
7tm_2--Pkinase	1	3.1675641431739e-05	7tm_2	Pkinase	7transmembranereceptor(Secretinfamily)	Proteinkinasedomain
7tm_3--Pkinase	1	3.1675641431739e-05	7tm_3	Pkinase	7transmembranesweet-tastereceptorof3GCPR	Proteinkinasedomain
AAA--Pkinase	1	3.1675641431739e-05	AAA	Pkinase	ATPasefamilyassociatedwithvariouscellularactivities(AAA)	Proteinkinasedomain
AA_permease_N--Pkinase	1	3.1675641431739e-05	AA_permease_N	Pkinase	AminoacidpermeaseN-terminal	Proteinkinasedomain
ABC_membrane--Pkinase	1	3.1675641431739e-05	ABC_membrane	Pkinase	ABCtransportertransmembraneregion	Proteinkinasedomain
ABC_tran--Pkinase	1	3.1675641431739e-05	ABC_tran	Pkinase	ABCtransporter	Proteinkinasedomain
AI-2E_transport--Pkinase	1	3.1675641431739e-05	AI-2E_transport	Pkinase	AI-2Efamilytransporter	Proteinkinasedomain
AMP-binding--Pkinase	1	3.1675641431739e-05	AMP-binding	Pkinase	AMP-bindingenzyme	Proteinkinasedomain
AMP-binding_C--Pkinase	1	3.1675641431739e-05	AMP-binding_C	Pkinase	AMP-bindingenzymeC-terminaldomain	Proteinkinasedomain
ARID--Pkinase	1	3.1675641431739e-05	ARID	Pkinase	ARID/BRIGHTDNAbindingdomain	Proteinkinasedomain
Acyl-CoA_dh_N--Pkinase	1	3.1675641431739e-05	Acyl-CoA_dh_N	Pkinase	Acyl-CoAdehydrogenase,N-terminaldomain	Proteinkinasedomain
Adaptin_N--Pkinase	2	6.3351282863478e-05	Adaptin_N	Pkinase	AdaptinNterminalregion	Proteinkinasedomain
Alpha_adaptinC2--Pkinase	2	6.3351282863478e-05	Alpha_adaptinC2	Pkinase	AdaptinC-terminaldomain	Proteinkinasedomain
Amidinotransf--Pkinase	1	3.1675641431739e-05	Amidinotransf	Pkinase	Amidinotransferase	Proteinkinasedomain
Amino_oxidase--Pkinase	2	6.3351282863478e-05	Amino_oxidase	Pkinase	Flavincontainingamineoxidoreductase	Proteinkinasedomain
Aminotran_1_2--Pkinase	1	3.1675641431739e-05	Aminotran_1_2	Pkinase	AminotransferaseclassIandII	Proteinkinasedomain
Ank--Pkinase	3	9.5026924295217e-05	Ank	Pkinase	Ankyrinrepeat	Proteinkinasedomain
Ank_2--Pkinase	4	0.000126702565726956	Ank_2	Pkinase	Ankyrinrepeats(3copies)	Proteinkinasedomain
Ank_3--Pkinase	3	9.5026924295217e-05	Ank_3	Pkinase	Ankyrinrepeat	Proteinkinasedomain
Ank_4--Pkinase	3	9.5026924295217e-05	Ank_4	Pkinase	Ankyrinrepeats(manycopies)	Proteinkinasedomain
Ank_5--Pkinase	2	6.3351282863478e-05	Ank_5	Pkinase	Ankyrinrepeats(manycopies)	Proteinkinasedomain
Anoctamin--Pkinase	1	3.1675641431739e-05	Anoctamin	Pkinase	Calcium-activatedchloridechannel	Proteinkinasedomain
Astacin--Pkinase	2	6.3351282863478e-05	Astacin	Pkinase	Astacin(PeptidasefamilyM12A)	Proteinkinasedomain
B2-adapt-app_C--Pkinase	1	3.1675641431739e-05	B2-adapt-app_C	Pkinase	Beta2-adaptinappendage,C-terminalsub-domain	Proteinkinasedomain
BAH--Pkinase	1	3.1675641431739e-05	BAH	Pkinase	BAHdomain	Proteinkinasedomain
BAR--Pkinase	1	3.1675641431739e-05	BAR	Pkinase	BARdomain	Proteinkinasedomain
BCDHK_Adom3--Pkinase	1	3.1675641431739e-05	BCDHK_Adom3	Pkinase	Mitochondrialbranched-chainalpha-ketoaciddehydrogenasekinase	Proteinkinasedomain
BET--Pkinase	2	6.3351282863478e-05	BET	Pkinase	Bromodomainextra-terminal-transcriptionregulation	Proteinkinasedomain
BRE--Pkinase	1	3.1675641431739e-05	BRE	Pkinase	Brainandreproductiveorgan-expressedprotein(BRE)	Proteinkinasedomain
BTB--Pkinase	3	9.5026924295217e-05	BTB	Pkinase	BTB/POZdomain	Proteinkinasedomain
BTB_2--Pkinase	1	3.1675641431739e-05	BTB_2	Pkinase	BTB/POZdomain	Proteinkinasedomain
Biliv-reduc_cat--Pkinase	1	3.1675641431739e-05	Biliv-reduc_cat	Pkinase	Biliverdinreductase,catalytic	Proteinkinasedomain
Biotin_carb_C--Pkinase	1	3.1675641431739e-05	Biotin_carb_C	Pkinase	BiotincarboxylaseC-terminaldomain	Proteinkinasedomain
Biotin_lipoyl--Pkinase	1	3.1675641431739e-05	Biotin_lipoyl	Pkinase	Biotin-requiringenzyme	Proteinkinasedomain
Bromodomain--Pkinase	1	3.1675641431739e-05	Bromodomain	Pkinase	Bromodomain	Proteinkinasedomain
C2--Pkinase	2	6.3351282863478e-05	C2	Pkinase	C2domain	Proteinkinasedomain
C2-set_2--Pkinase	1	3.1675641431739e-05	C2-set_2	Pkinase	CD80-likeC2-setimmunoglobulindomain	Proteinkinasedomain
CAP--Pkinase	1	3.1675641431739e-05	CAP	Pkinase	Cysteine-richsecretoryproteinfamily	Proteinkinasedomain
CAP_GLY--Pkinase	1	3.1675641431739e-05	CAP_GLY	Pkinase	CAP-Glydomain	Proteinkinasedomain
CD20--Pkinase	1	3.1675641431739e-05	CD20	Pkinase	CD20-likefamily	Proteinkinasedomain
CDC45--Pkinase	1	3.1675641431739e-05	CDC45	Pkinase	CDC45-likeprotein	Proteinkinasedomain
CENP-P--Pkinase	1	3.1675641431739e-05	CENP-P	Pkinase	CENP-A-nucleosomedistal(CAD)centromeresubunit,CENP-P	Proteinkinasedomain
CHD5--Pkinase	1	3.1675641431739e-05	CHD5	Pkinase	CHD5-likeprotein	Proteinkinasedomain
CHGN--Pkinase	1	3.1675641431739e-05	CHGN	Pkinase	ChondroitinN-acetylgalactosaminyltransferase	Proteinkinasedomain
COX16--Pkinase	2	6.3351282863478e-05	COX16	Pkinase	CytochromecoxidaseassemblyproteinCOX16	Proteinkinasedomain
COX6B--Pkinase	1	3.1675641431739e-05	COX6B	Pkinase	CytochromeoxidasecsubunitVIb	Proteinkinasedomain
COX6C--Pkinase	1	3.1675641431739e-05	COX6C	Pkinase	CytochromecoxidasesubunitVIc	Proteinkinasedomain
CP2--Pkinase	1	3.1675641431739e-05	CP2	Pkinase	CP2transcriptionfactor	Proteinkinasedomain
CSD--Pkinase	1	3.1675641431739e-05	CSD	Pkinase	'Cold-shock'DNA-bindingdomain	Proteinkinasedomain
CSN8_PSD8_EIF3K--Pkinase	1	3.1675641431739e-05	CSN8_PSD8_EIF3K	Pkinase	CSN8/PSMD8/EIF3Kfamily	Proteinkinasedomain
CTP_transf_1--Pkinase	1	3.1675641431739e-05	CTP_transf_1	Pkinase	Cytidylyltransferasefamily	Proteinkinasedomain
CUB--Pkinase	2	6.3351282863478e-05	CUB	Pkinase	CUBdomain	Proteinkinasedomain
CaKB--Pkinase	1	3.1675641431739e-05	CaKB	Pkinase	Calcium-activatedpotassiumchannel,betasubunit	Proteinkinasedomain
CaMKII_AD--Pkinase	1	3.1675641431739e-05	CaMKII_AD	Pkinase	Calcium/calmodulindependentproteinkinaseIIassociationdomain	Proteinkinasedomain
Ca_chan_IQ--Pkinase	1	3.1675641431739e-05	Ca_chan_IQ	Pkinase	VoltagegatedcalciumchannelIQdomain	Proteinkinasedomain
CarboxypepD_reg--Pkinase	1	3.1675641431739e-05	CarboxypepD_reg	Pkinase	Carboxypeptidaseregulatory-likedomain	Proteinkinasedomain
Cast--Pkinase	1	3.1675641431739e-05	Cast	Pkinase	RIM-bindingproteinofthecytomatrixactivezone	Proteinkinasedomain
Catalase--Pkinase	1	3.1675641431739e-05	Catalase	Pkinase	Catalase	Proteinkinasedomain
Catalase-rel--Pkinase	1	3.1675641431739e-05	Catalase-rel	Pkinase	Catalase-relatedimmune-responsive	Proteinkinasedomain
Cep57_CLD--Pkinase	1	3.1675641431739e-05	Cep57_CLD	Pkinase	CentrosomelocalisationdomainofCep57	Proteinkinasedomain
Ceramidase--Pkinase	1	3.1675641431739e-05	Ceramidase	Pkinase	Ceramidase	Proteinkinasedomain
Chorein_N--Pkinase	2	6.3351282863478e-05	Chorein_N	Pkinase	N-terminalregionofChoreinorVPS13	Proteinkinasedomain
Clathrin--Pkinase	1	3.1675641431739e-05	Clathrin	Pkinase	RegioninClathrinandVPS	Proteinkinasedomain
CoA_binding--Pkinase	1	3.1675641431739e-05	CoA_binding	Pkinase	CoAbindingdomain	Proteinkinasedomain
Collagen--Pkinase	1	3.1675641431739e-05	Collagen	Pkinase	Collagentriplehelixrepeat(20copies)	Proteinkinasedomain
DAO--Pkinase	3	9.5026924295217e-05	DAO	Pkinase	FADdependentoxidoreductase	Proteinkinasedomain
DARPP-32--Pkinase	2	6.3351282863478e-05	DARPP-32	Pkinase	Proteinphosphataseinhibitor1/DARPP-32	Proteinkinasedomain
DEAD--Pkinase	1	3.1675641431739e-05	DEAD	Pkinase	DEAD/DEAHboxhelicase	Proteinkinasedomain
DED--Pkinase	1	3.1675641431739e-05	DED	Pkinase	Deatheffectordomain	Proteinkinasedomain
DHR-2--Pkinase	3	9.5026924295217e-05	DHR-2	Pkinase	Dockhomologyregion2	Proteinkinasedomain
DNA_pol_B--Pkinase	1	3.1675641431739e-05	DNA_pol_B	Pkinase	DNApolymerasefamilyB	Proteinkinasedomain
DNA_pol_B_exo1--Pkinase	1	3.1675641431739e-05	DNA_pol_B_exo1	Pkinase	DNApolymerasefamilyB,exonucleasedomain	Proteinkinasedomain
DNA_pol_alpha_N--Pkinase	1	3.1675641431739e-05	DNA_pol_alpha_N	Pkinase	DNApolymerasealphasubunitp180Nterminal	Proteinkinasedomain
DOCK-C2--Pkinase	2	6.3351282863478e-05	DOCK-C2	Pkinase	C2domaininDock180andZiziminproteins	Proteinkinasedomain
DSPc--Pkinase	1	3.1675641431739e-05	DSPc	Pkinase	Dualspecificityphosphatase,catalyticdomain	Proteinkinasedomain
DUF1143--Pkinase	1	3.1675641431739e-05	DUF1143	Pkinase	Proteinofunknownfunction(DUF1143)	Proteinkinasedomain
DUF2615--Pkinase	1	3.1675641431739e-05	DUF2615	Pkinase	Proteinofunknownfunction(DUF2615)	Proteinkinasedomain
DUF3371--Pkinase	1	3.1675641431739e-05	DUF3371	Pkinase	Domainofunknownfunction(DUF3371)	Proteinkinasedomain
DUF3398--Pkinase	2	6.3351282863478e-05	DUF3398	Pkinase	Domainofunknownfunction(DUF3398)	Proteinkinasedomain
DUF572--Pkinase	1	3.1675641431739e-05	DUF572	Pkinase	Familyofunknownfunction(DUF572)	Proteinkinasedomain
DUF737--Pkinase	1	3.1675641431739e-05	DUF737	Pkinase	Proteinofunknownfunction(DUF737)	Proteinkinasedomain
Death--Pkinase	3	9.5026924295217e-05	Death	Pkinase	Deathdomain	Proteinkinasedomain
Dynamin_N--Pkinase	1	3.1675641431739e-05	Dynamin_N	Pkinase	Dynaminfamily	Proteinkinasedomain
EF-hand_8--Pkinase	1	3.1675641431739e-05	EF-hand_8	Pkinase	EF-handdomainpair	Proteinkinasedomain
EGF_2--Pkinase	1	3.1675641431739e-05	EGF_2	Pkinase	EGF-likedomain	Proteinkinasedomain
EGF_CA--Pkinase	2	6.3351282863478e-05	EGF_CA	Pkinase	Calcium-bindingEGFdomain	Proteinkinasedomain
EHD_N--Pkinase	1	3.1675641431739e-05	EHD_N	Pkinase	N-terminalEH-domaincontainingprotein	Proteinkinasedomain
ERAP1_C--Pkinase	1	3.1675641431739e-05	ERAP1_C	Pkinase	ERAP1-likeC-terminaldomain	Proteinkinasedomain
ERCC3_RAD25_C--Pkinase	1	3.1675641431739e-05	ERCC3_RAD25_C	Pkinase	ERCC3/RAD25/XPBC-terminalhelicase	Proteinkinasedomain
EVC2_like--Pkinase	1	3.1675641431739e-05	EVC2_like	Pkinase	EllisvanCreveldprotein2likeprotein	Proteinkinasedomain
Endostatin--Pkinase	1	3.1675641431739e-05	Endostatin	Pkinase	CollagenaseNC10andEndostatin	Proteinkinasedomain
F5_F8_type_C--Pkinase	1	3.1675641431739e-05	F5_F8_type_C	Pkinase	F5/8typeCdomain	Proteinkinasedomain
FAD_binding_2--Pkinase	1	3.1675641431739e-05	FAD_binding_2	Pkinase	FADbindingdomain	Proteinkinasedomain
FAD_binding_6--Pkinase	1	3.1675641431739e-05	FAD_binding_6	Pkinase	OxidoreductaseFAD-bindingdomain	Proteinkinasedomain
FAM131--Pkinase	1	3.1675641431739e-05	FAM131	Pkinase	Putativecellsignalling	Proteinkinasedomain
FAM222A--Pkinase	1	3.1675641431739e-05	FAM222A	Pkinase	ProteinfamilyofFAM222A	Proteinkinasedomain
FANCL_C--Pkinase	1	3.1675641431739e-05	FANCL_C	Pkinase	FANCLC-terminaldomain	Proteinkinasedomain
FERM_M--Pkinase	1	3.1675641431739e-05	FERM_M	Pkinase	FERMcentraldomain	Proteinkinasedomain
FERM_N--Pkinase	5	0.000158378207158695	FERM_N	Pkinase	FERMN-terminaldomain	Proteinkinasedomain
FERM_f0--Pkinase	1	3.1675641431739e-05	FERM_f0	Pkinase	N-terminalorF0domainofTalin-headFERM	Proteinkinasedomain
FF--Pkinase	1	3.1675641431739e-05	FF	Pkinase	FFdomain	Proteinkinasedomain
FHA--Pkinase	3	9.5026924295217e-05	FHA	Pkinase	FHAdomain	Proteinkinasedomain
FOLN--Pkinase	2	6.3351282863478e-05	FOLN	Pkinase	Follistatin/Osteonectin-likeEGFdomain	Proteinkinasedomain
FTHFS--Pkinase	1	3.1675641431739e-05	FTHFS	Pkinase	Formate--tetrahydrofolateligase	Proteinkinasedomain
FXa_inhibition--Pkinase	2	6.3351282863478e-05	FXa_inhibition	Pkinase	CoagulationFactorXainhibitorysite	Proteinkinasedomain
FYVE--Pkinase	1	3.1675641431739e-05	FYVE	Pkinase	FYVEzincfinger	Proteinkinasedomain
FbpA--Pkinase	1	3.1675641431739e-05	FbpA	Pkinase	Fibronectin-bindingproteinAN-terminus(FbpA)	Proteinkinasedomain
Filament--Pkinase	5	0.000158378207158695	Filament	Pkinase	Intermediatefilamentprotein	Proteinkinasedomain
G-patch--Pkinase	1	3.1675641431739e-05	G-patch	Pkinase	G-patchdomain	Proteinkinasedomain
GAT--Pkinase	2	6.3351282863478e-05	GAT	Pkinase	GATdomain	Proteinkinasedomain
GBP--Pkinase	1	3.1675641431739e-05	GBP	Pkinase	Guanylate-bindingprotein,N-terminaldomain	Proteinkinasedomain
GFO_IDH_MocA--Pkinase	1	3.1675641431739e-05	GFO_IDH_MocA	Pkinase	Oxidoreductasefamily,NAD-bindingRossmannfold	Proteinkinasedomain
GPHH--Pkinase	1	3.1675641431739e-05	GPHH	Pkinase	Voltage-dependentL-typecalciumchannel,IQ-associated	Proteinkinasedomain
Glyco_transf_8--Pkinase	1	3.1675641431739e-05	Glyco_transf_8	Pkinase	Glycosyltransferasefamily8	Proteinkinasedomain
Guanylate_cyc--Pkinase	2	6.3351282863478e-05	Guanylate_cyc	Pkinase	AdenylateandGuanylatecyclasecatalyticdomain	Proteinkinasedomain
Guanylate_kin--Pkinase	1	3.1675641431739e-05	Guanylate_kin	Pkinase	Guanylatekinase	Proteinkinasedomain
Guanylin--Pkinase	1	3.1675641431739e-05	Guanylin	Pkinase	Guanylinprecursor	Proteinkinasedomain
HCO3_cotransp--Pkinase	1	3.1675641431739e-05	HCO3_cotransp	Pkinase	HCO3-transporterfamily	Proteinkinasedomain
HECT--Pkinase	1	3.1675641431739e-05	HECT	Pkinase	HECT-domain(ubiquitin-transferase)	Proteinkinasedomain
HECW_N--Pkinase	1	3.1675641431739e-05	HECW_N	Pkinase	N-terminaldomainofE3ubiquitin-proteinligaseHECW1and2	Proteinkinasedomain
HELP--Pkinase	1	3.1675641431739e-05	HELP	Pkinase	HELPmotif	Proteinkinasedomain
HGTP_anticodon--Pkinase	1	3.1675641431739e-05	HGTP_anticodon	Pkinase	Anticodonbindingdomain	Proteinkinasedomain
HIF-1--Pkinase	2	6.3351282863478e-05	HIF-1	Pkinase	Hypoxia-induciblefactor-1	Proteinkinasedomain
HLH--Pkinase	1	3.1675641431739e-05	HLH	Pkinase	Helix-loop-helixDNA-bindingdomain	Proteinkinasedomain
HNOB--Pkinase	1	3.1675641431739e-05	HNOB	Pkinase	Haem-NO-binding	Proteinkinasedomain
HNOBA--Pkinase	1	3.1675641431739e-05	HNOBA	Pkinase	HemeNObindingassociated	Proteinkinasedomain
HOOK--Pkinase	1	3.1675641431739e-05	HOOK	Pkinase	HOOKprotein	Proteinkinasedomain
Helicase_C_3--Pkinase	1	3.1675641431739e-05	Helicase_C_3	Pkinase	HelicaseconservedC-terminaldomain	Proteinkinasedomain
Hemopexin--Pkinase	1	3.1675641431739e-05	Hemopexin	Pkinase	Hemopexin	Proteinkinasedomain
Histone--Pkinase	1	3.1675641431739e-05	Histone	Pkinase	CorehistoneH2A/H2B/H3/H4	Proteinkinasedomain
Homeobox--Pkinase	1	3.1675641431739e-05	Homeobox	Pkinase	Homeodomain	Proteinkinasedomain
Hydrolase--Pkinase	1	3.1675641431739e-05	Hydrolase	Pkinase	haloaciddehalogenase-likehydrolase	Proteinkinasedomain
I-set--Pkinase	1	3.1675641431739e-05	I-set	Pkinase	ImmunoglobulinI-setdomain	Proteinkinasedomain
IBR--Pkinase	2	6.3351282863478e-05	IBR	Pkinase	IBRdomain,ahalfRING-fingerdomain	Proteinkinasedomain
IL8--Pkinase	1	3.1675641431739e-05	IL8	Pkinase	Smallcytokines(intecrine/chemokine),interleukin-8like	Proteinkinasedomain
IMD--Pkinase	1	3.1675641431739e-05	IMD	Pkinase	IRSp53/MIMhomologydomain	Proteinkinasedomain
IQ_SEC7_PH--Pkinase	1	3.1675641431739e-05	IQ_SEC7_PH	Pkinase	PHdomain	Proteinkinasedomain
IRK--Pkinase	1	3.1675641431739e-05	IRK	Pkinase	Inwardrectifierpotassiumchanneltransmembranedomain	Proteinkinasedomain
Ig_3--Pkinase	1	3.1675641431739e-05	Ig_3	Pkinase	Immunoglobulindomain	Proteinkinasedomain
Integrin_B_tail--Pkinase	1	3.1675641431739e-05	Integrin_B_tail	Pkinase	Integrinbetataildomain	Proteinkinasedomain
Integrin_b_cyt--Pkinase	1	3.1675641431739e-05	Integrin_b_cyt	Pkinase	Integrinbetacytoplasmicdomain	Proteinkinasedomain
Integrin_beta--Pkinase	1	3.1675641431739e-05	Integrin_beta	Pkinase	IntegrinbetachainVWAdomain	Proteinkinasedomain
Ion_trans--Pkinase	1	3.1675641431739e-05	Ion_trans	Pkinase	Iontransportprotein	Proteinkinasedomain
JmjC--Pkinase	1	3.1675641431739e-05	JmjC	Pkinase	JmjCdomain,hydroxylase	Proteinkinasedomain
Jnk-SapK_ap_N--Pkinase	1	3.1675641431739e-05	Jnk-SapK_ap_N	Pkinase	JNK_SAPK-associatedprotein-1	Proteinkinasedomain
KELK--Pkinase	1	3.1675641431739e-05	KELK	Pkinase	KELK-motifcontainingdomainofMRCKSer/Thrproteinkinase	Proteinkinasedomain
KH_1--Pkinase	2	6.3351282863478e-05	KH_1	Pkinase	KHdomain	Proteinkinasedomain
KRAB--Pkinase	1	3.1675641431739e-05	KRAB	Pkinase	KRABbox	Proteinkinasedomain
Kazal_2--Pkinase	2	6.3351282863478e-05	Kazal_2	Pkinase	Kazal-typeserineproteaseinhibitordomain	Proteinkinasedomain
KcnmB2_inactiv--Pkinase	1	3.1675641431739e-05	KcnmB2_inactiv	Pkinase	KCNMB2,ballandchaindomain	Proteinkinasedomain
Kinesin--Pkinase	1	3.1675641431739e-05	Kinesin	Pkinase	Kinesinmotordomain	Proteinkinasedomain
L27_1--Pkinase	1	3.1675641431739e-05	L27_1	Pkinase	L27_1	Proteinkinasedomain
L27_2--Pkinase	1	3.1675641431739e-05	L27_2	Pkinase	L27_2	Proteinkinasedomain
LETM1--Pkinase	1	3.1675641431739e-05	LETM1	Pkinase	LETM1-likeprotein	Proteinkinasedomain
LRR_8--Pkinase	1	3.1675641431739e-05	LRR_8	Pkinase	Leucinerichrepeat	Proteinkinasedomain
LSM--Pkinase	1	3.1675641431739e-05	LSM	Pkinase	LSMdomain	Proteinkinasedomain
LSR--Pkinase	1	3.1675641431739e-05	LSR	Pkinase	Lipolysisstimulatedreceptor(LSR)	Proteinkinasedomain
Laminin_B--Pkinase	1	3.1675641431739e-05	Laminin_B	Pkinase	LamininB(DomainIV)	Proteinkinasedomain
Laminin_EGF--Pkinase	2	6.3351282863478e-05	Laminin_EGF	Pkinase	LamininEGFdomain	Proteinkinasedomain
Laminin_G_2--Pkinase	1	3.1675641431739e-05	Laminin_G_2	Pkinase	LamininGdomain	Proteinkinasedomain
Laminin_I--Pkinase	1	3.1675641431739e-05	Laminin_I	Pkinase	LamininDomainI	Proteinkinasedomain
Laminin_II--Pkinase	1	3.1675641431739e-05	Laminin_II	Pkinase	LamininDomainII	Proteinkinasedomain
Lamp--Pkinase	1	3.1675641431739e-05	Lamp	Pkinase	Lysosome-associatedmembraneglycoprotein(Lamp)	Proteinkinasedomain
Leuk-A4-hydro_C--Pkinase	1	3.1675641431739e-05	Leuk-A4-hydro_C	Pkinase	LeukotrieneA4hydrolase,C-terminal	Proteinkinasedomain
Lgl_C--Pkinase	1	3.1675641431739e-05	Lgl_C	Pkinase	Lethalgiantlarvae(Lgl)like,C-terminal	Proteinkinasedomain
Ligase_CoA--Pkinase	1	3.1675641431739e-05	Ligase_CoA	Pkinase	CoA-ligase	Proteinkinasedomain
Lys--Pkinase	1	3.1675641431739e-05	Lys	Pkinase	C-typelysozyme/alpha-lactalbuminfamily	Proteinkinasedomain
MAGI_u1--Pkinase	1	3.1675641431739e-05	MAGI_u1	Pkinase	UnstructuredregiononMAGI	Proteinkinasedomain
MAGI_u5--Pkinase	1	3.1675641431739e-05	MAGI_u5	Pkinase	UnstructuredregiononMAGI	Proteinkinasedomain
MAP1B_neuraxin--Pkinase	1	3.1675641431739e-05	MAP1B_neuraxin	Pkinase	NeuraxinandMAP1Brepeat	Proteinkinasedomain
MFS_1--Pkinase	1	3.1675641431739e-05	MFS_1	Pkinase	MajorFacilitatorSuperfamily	Proteinkinasedomain
MH1--Pkinase	3	9.5026924295217e-05	MH1	Pkinase	MH1domain	Proteinkinasedomain
MRF_C1--Pkinase	1	3.1675641431739e-05	MRF_C1	Pkinase	Myelingeneregulatoryfactor-C-terminaldomain1	Proteinkinasedomain
MRF_C2--Pkinase	1	3.1675641431739e-05	MRF_C2	Pkinase	MyelingeneregulatoryfactorC-terminaldomain2	Proteinkinasedomain
MTS--Pkinase	1	3.1675641431739e-05	MTS	Pkinase	Methyltransferasesmalldomain	Proteinkinasedomain
Mad3_BUB1_I--Pkinase	1	3.1675641431739e-05	Mad3_BUB1_I	Pkinase	Mad3/BUB1homologyregion1	Proteinkinasedomain
Med1--Pkinase	1	3.1675641431739e-05	Med1	Pkinase	MediatorofRNApolymeraseIItranscriptionsubunit1	Proteinkinasedomain
Med25--Pkinase	1	3.1675641431739e-05	Med25	Pkinase	Mediatorcomplexsubunit25PTOVactivationandsynapsin2	Proteinkinasedomain
Med25_SD1--Pkinase	1	3.1675641431739e-05	Med25_SD1	Pkinase	Mediatorcomplexsubunit25synapsin1	Proteinkinasedomain
Med25_VWA--Pkinase	1	3.1675641431739e-05	Med25_VWA	Pkinase	Mediatorcomplexsubunit25vonWillebrandfactortypeA	Proteinkinasedomain
Med6--Pkinase	1	3.1675641431739e-05	Med6	Pkinase	MED6mediatorsubcomplexcomponent	Proteinkinasedomain
Metallophos--Pkinase	1	3.1675641431739e-05	Metallophos	Pkinase	Calcineurin-likephosphoesterase	Proteinkinasedomain
Mss4--Pkinase	1	3.1675641431739e-05	Mss4	Pkinase	Mss4protein	Proteinkinasedomain
Muskelin_N--Pkinase	1	3.1675641431739e-05	Muskelin_N	Pkinase	MuskelinN-terminus	Proteinkinasedomain
MyTH4--Pkinase	1	3.1675641431739e-05	MyTH4	Pkinase	MyTH4domain	Proteinkinasedomain
NAD_binding_1--Pkinase	1	3.1675641431739e-05	NAD_binding_1	Pkinase	OxidoreductaseNAD-bindingdomain	Proteinkinasedomain
NCKAP5--Pkinase	1	3.1675641431739e-05	NCKAP5	Pkinase	Nck-associatedprotein5,Peripheralclockprotein	Proteinkinasedomain
NDT80_PhoG--Pkinase	1	3.1675641431739e-05	NDT80_PhoG	Pkinase	NDT80/PhoGlikeDNA-bindingfamily	Proteinkinasedomain
NIF--Pkinase	1	3.1675641431739e-05	NIF	Pkinase	NLIinteractingfactor-likephosphatase	Proteinkinasedomain
NMT--Pkinase	1	3.1675641431739e-05	NMT	Pkinase	Myristoyl-CoA:proteinN-myristoyltransferase,N-terminaldomain	Proteinkinasedomain
NTF2--Pkinase	1	3.1675641431739e-05	NTF2	Pkinase	Nucleartransportfactor2(NTF2)domain	Proteinkinasedomain
Neogenin_C--Pkinase	1	3.1675641431739e-05	Neogenin_C	Pkinase	NeogeninC-terminus	Proteinkinasedomain
Neur_chan_LBD--Pkinase	1	3.1675641431739e-05	Neur_chan_LBD	Pkinase	Neurotransmitter-gatedion-channelligandbindingdomain	Proteinkinasedomain
Neur_chan_memb--Pkinase	1	3.1675641431739e-05	Neur_chan_memb	Pkinase	Neurotransmitter-gatedion-channeltransmembraneregion	Proteinkinasedomain
Neuregulin--Pkinase	1	3.1675641431739e-05	Neuregulin	Pkinase	Neuregulinintracellularregion	Proteinkinasedomain
NfI_DNAbd_pre-N--Pkinase	1	3.1675641431739e-05	NfI_DNAbd_pre-N	Pkinase	NuclearfactorIproteinpre-N-terminus	Proteinkinasedomain
Nop14--Pkinase	1	3.1675641431739e-05	Nop14	Pkinase	Nop14-likefamily	Proteinkinasedomain
Nucleolin_bd--Pkinase	1	3.1675641431739e-05	Nucleolin_bd	Pkinase	Nucleolinbindingdomain	Proteinkinasedomain
OxoGdeHyase_C--Pkinase	1	3.1675641431739e-05	OxoGdeHyase_C	Pkinase	2-oxoglutaratedehydrogenaseC-terminal	Proteinkinasedomain
PA14--Pkinase	1	3.1675641431739e-05	PA14	Pkinase	PA14domain	Proteinkinasedomain
PARP--Pkinase	4	0.000126702565726956	PARP	Pkinase	Poly(ADP-ribose)polymerasecatalyticdomain	Proteinkinasedomain
PAS--Pkinase	3	9.5026924295217e-05	PAS	Pkinase	PASfold	Proteinkinasedomain
PAS_3--Pkinase	2	6.3351282863478e-05	PAS_3	Pkinase	PASfold	Proteinkinasedomain
PCI--Pkinase	1	3.1675641431739e-05	PCI	Pkinase	PCIdomain	Proteinkinasedomain
PDEase_I--Pkinase	2	6.3351282863478e-05	PDEase_I	Pkinase	3'5'-cyclicnucleotidephosphodiesterase	Proteinkinasedomain
PDGF--Pkinase	2	6.3351282863478e-05	PDGF	Pkinase	PDGF/VEGFdomain	Proteinkinasedomain
PDZ--Pkinase	7	0.000221729490022173	PDZ	Pkinase	PDZdomain	Proteinkinasedomain
PDZ_2--Pkinase	1	3.1675641431739e-05	PDZ_2	Pkinase	PDZdomain	Proteinkinasedomain
PH--Pkinase	1	3.1675641431739e-05	PH	Pkinase	PHdomain	Proteinkinasedomain
PK--Pkinase	1	3.1675641431739e-05	PK	Pkinase	Pyruvatekinase,barreldomain	Proteinkinasedomain
PK_C--Pkinase	1	3.1675641431739e-05	PK_C	Pkinase	Pyruvatekinase,alpha/betadomain	Proteinkinasedomain
