all_gene1	three_prime_partners	num_three_prime_partners	five_prime_TCGA_Projects
BTF3L4	PATJ	1	LUAD
DNAJC21	PATJ	1	STAD
EFCAB14	L1TD1	1	TGCT
ICMT	ACOT7	1	TGCT
AL357078.1	LINC00466:ZRANB2-AS2	2	SKCM:BRCA
C1orf123	ALG6	1	BRCA
GNG12-AS1	ITGB3BP:GNG12	2	BRCA:STAD
USP1	EFCAB7:SGIP1	2	PRAD:BRCA
OTUD3	HES2	1	CESC
TBX3	CACHD1:BIK	2	PRAD:BRCA
ARHGAP29	DNAJC6:ALG14:MID2	3	PRAD:STAD:BLCA
ENG	NOL9:AK1:GOLGA2	3	STAD:BRCA:OV
MIER1	LEPR:PTGER3	2	SKCM:BRCA
GCNT2	PDE4B:OSM:C1QTNF3-AMACR	3	BRCA:LUAD:PRAD
LINC00921	PHF13	1	BRCA
TMED7	PDE4B	1	SARC
LEPROT	SGIP1	1	PRAD
VPS37A	WDR78	1	SARC
CENPU	LINC01707	1	UCEC
SMC4	SRSF11:TPRG1	2	OV:STAD
ANKRD13C	HHLA3:OR5V1	2	LUAD:OV
MS4A5	LINC01788	1	TGCT
ZNF644	PTGER3:LINC01763:STARD3NL	3	LUAD:OV:BRCA
ZNF521	NEGR1:PVT1	2	OV:LUSC
AL136985.1	NEGR1	1	BRCA
RNF122	NEGR1:NSD3:IDO2	3	BRCA:LUSC
PGD	CAMTA1:NTSR1	2	GBM:LUSC
FPGT-TNNI3K	LINC01360	1	SKCM
CAAP1	FPGT-TNNI3K	1	OV
ARFGEF3	FPGT-TNNI3K:LINC00159:AL357060.2:AL357060.3:LINC01277	5	BRCA:PRAD:KIRC:BLCA
AK5	AC092813.2:USP33	2	SKCM:CESC
LPAR3	ST6GALNAC3	1	BRCA
AL035409.1	ST6GALNAC5	1	BRCA:MESO
RPL11	CAMTA1:ARMC9	2	BRCA:SARC
ST6GALNAC3	AK5	1	LUSC
NEXN	AK5	1	BRCA
ZBTB11	ZZZ3	1	LUAD
CCDC18-AS1	FUBP1:DNTTIP2	2	LIHC:SARC
DCLRE1B	DNAJB4	1	LUAD
WASF1	Z98884.1	1	PCPG
PPAN	GIPC2	1	OV
LRRC8C	IFI44L	1	SKCM
CSMD2	IFI44L:FYB	2	BRCA:OV
SLC45A1	PARK7	1	PRAD
SLC25A33	AL034417.2:SPSB1:PHF24	3	BRCA:CESC:STAD
POLR3H	FAM87B:CTNND2	2	ESCA:SKCM
SAMD13	PRKACB	1	BLCA
RPF1	PRKACB	1	SKCM
TTLL7	SAMD13:GNG5:MCOLN2	3	PRAD:LUSC:BRCA
SSX2IP	LPAR3	1	OV
CTBS	MCOLN2	1	DLBC
BMPR1B	DDAH1:MELTF-AS1:FGF2:AC034154.1:MCC:ETV1	6	KIRC:OV:BRCA:PRAD
DNTTIP2	AC092807.1:GCLM	2	CHOL:BRCA
PKN2	COL24A1	1	BRCA
AL160314.2	COL24A1	1	BRCA
GTF2B	ODF2L:KYAT3	2	PRAD:BRCA
IKBKAP	PKN2:EPB41L4B:PTPN3	3	STAD:ESCA
TRIM11	SLC2A5	1	BRCA
MICU3	TGFBR3	1	SKCM
SPSB1	H6PD	1	LUAD:LUSC:STAD
ZNF862	RPL5	1	LGG
C1orf112	RPL5	1	BRCA
RWDD3	CCDC18:WDR33	2	BRCA:ESCA
TMEM56	FNBP1L	1	BRCA
ABCD3	ARHGAP29:AC097059.1:DPYD	3	BRCA:BLCA:STAD:ESCA:PRAD
DOCK11	AC097059.1	1	LIHC
RAP1A	ABCD3	1	STAD
SLC44A3	ABCD3	1	KIRC:STAD
IFI44L	SLC44A3:RPS27A	2	BRCA
CNN3	ALG14	1	GBM:LIHC:BRCA
AC128689.1	ALG14	1	ESCA
RPAP2	AC095033.1	1	PRAD
DFFB	SLC25A33	1	GBM
FHOD1	PIK3CD-AS2	1	OV
SLC2A5	PIK3CD-AS2	1	OV
AGO3	PIK3CD	1	LUAD
LSM10	CLSTN1	1	BRCA
MED12L	DPYD:GOLIM4	2	ESCA:LUSC
SNX7	DPYD	1	LUAD
AGL	PALMD	1	BRCA
SETD2	PALMD:MACROD2:POGLUT1:ULK4:CCRL2:SCAP:MAP4:QRICH1:RBM6:NISCH:SPATA12:BAIAP2L1	12	UCS:MESO:LUAD:BRCA:SARC:STAD:HNSC:BLCA
STK35	SNAP25-AS1:AL034562.1:CHD6	3	LUAD:SARC:BRCA
PAK5	SNAP25-AS1:LINC01986	2	UCEC:BLCA
JAG1	AL135937.1:AL050338.2:HLA-B	3	UCEC:LUSC:STAD
MKKS	AL049649.1:MMP24	2	HNSC:LUSC
CDS2	LINC00687:PRNP	2	BLCA:PRAD
AL031665.2	TMEM74B:PYGB	2	THCA:LUSC
CCDC126	BTBD3	1	UCEC
MACROD2	SPTLC3:TASP1:FLRT3:MACROD2-AS1:LINC01260:DCLK2	6	PCPG:OV:UCEC:COAD:LUSC:BRCA
ZNF18	TASP1	1	BRCA
TM4SF1	FKBP1A	1	OV
TASP1	ESF1:SEL1L2:SLC24A3:RALGAPA2:R3HDML:HLCS:TRDN	7	PRAD:LUAD:LUSC:OV:BRCA:MESO
AL117335.1	DEFB126	1	SKCM
SGSM3	DEFB126:TAB1:TNRC6B	3	SKCM:HNSC:LUAD
MRPS6	NSFL1C:GNAS:IFNGR2:ITSN1:TMPRSS2	5	LAML:STAD:BRCA:LGG:PRAD
BMP7	MACROD2:PIGU:RBM38	3	BLCA:LUSC:OV
SLC24A3	MACROD2:DSTN:DNMT3B:LINC01706:PLCB4	5	LUSC:OV:HNSC:BRCA
PLSCR1	MACROD2	1	HNSC
IL1RAP	SIRPG:COL6A5:LPP:TPRG1:TP63:LINC01235	6	CHOL:LUSC:BRCA:STAD
ABHD12	KIF16B:NINL:PPP2R2A	3	LUSC:STAD:COAD
BCAS1	KIF16B	1	BRCA
SNX5	PCSK2	1	SKCM
NRG2	RRBP1:CYSTM1	2	STAD:BRCA
AL121753.1	BANF2	1	BLCA
RAB28	MGME1:BOD1L1	2	BRCA:UCEC
POLR3F	MGME1	1	BRCA
SEC23B	KAT14:LINC00851:DZANK1:NAPB:PLEKHM3:ZCCHC7	6	ESCA:PRAD:BRCA:UCS:SARC:LUSC:HNSC
SMIM26	SEC23B	1	HNSC:OV
DZANK1	DTD1	1	COAD
ASXL1	SLC24A3:DEFB123:TPX2:PDRG1:CCM2L:TM9SF4:AJ009632.2	7	ESCA:UCEC:HNSC:BRCA:UCS:LUAD:OV:STAD
TRIB3	SLC24A3:GPCPD1	2	CHOL:STAD
SMOX	SLC24A3:EIF3D	2	LIHC:LGG
AL121761.1	SLC24A3	1	BLCA
NINL	NAA20:GINS1:NIPSNAP2	3	PRAD:LUSC:LUAD
MGLL	AL034562.1:EEFSEC	2	BRCA:STAD
FAM91A1	AL035454.1:AC090193.1	2	SARC:BRCA
XRN2	KIZ:TMEM40	2	BRCA:BLCA:LUSC
PYGB	KIZ:CNBD2:CDC20B	3	STAD:COAD:ESCA
HDHD5	XRN2:AL138830.1	2	STAD:ACC
ENTPD6	LINC01727	1	OV
SLC52A3	LINC01726	1	COAD
CHMP4B	LINC01726:CBFA2T2:ZNF341:STK4	4	BRCA:LIHC:PRAD
NAPB	AL158175.1	1	BRCA
TTI1	AL049651.1:EFCAB8:C3orf67	3	STAD:COAD:PRAD
SNHG22	SNRPB:MCM7:ZC3H3	3	LUSC:UCS:SKCM
GINS1	SYNDIG1	1	LUSC
CSNK2A1	SNRPB:SCRT2:SMARCA2	3	OV:GBM
AC027575.2	GINS1	1	STAD
STK32B	GINS1:SMIM14	2	SKCM:LUSC
KIF3B	NINL:REM1:LINC00028:HM13:TM9SF4:POFUT1:ZNF341-AS1:LINC01728:TOX2	9	OV:HNSC:UCEC:UCS:ESCA:STAD:PRAD:COAD
DIDO1	ZNF337-AS1:LINC01749:CDC42EP1:LANCL2:RPS4X	5	OV:STAD:ESCA:LUSC
TNNT1	TMC2	1	OV
NXT1	VPS16	1	BRCA
CCDC129	DEFB118	1	BRCA
HM13	DEFB123:BCL2L1:ZBTB46	3	LUAD:BLCA:COAD
SERTAD2	DEFB124:BCL2L11:TGFA	3	DLBC:UCS:HNSC
CDKN2D	HM13	1	UCEC
EYA2	MYLK2:ITCH:SERINC3:PI3:SYS1-DBNDD2:SLC2A10:ZMYND8:ANK1:LHX2	9	UCS:PRAD:OV:UCEC:LGG
DYNLT1	DUSP15	1	PRAD
POFUT1	HCK:ITCH:PRICKLE2	3	OV:LIHC:LUAD:SKCM
ANKRD28	TM9SF4:GRM7:EYS	3	SKCM:BLCA:BRCA
BCL2L1	PLAGL2:RHAG	2	STAD:OV
ERBIN	ASXL1:RBM39:TMEM232:ARL15:PPWD1:ZBTB10	6	LUAD:LAML:SKCM:ESCA:BRCA
IRAK1BP1	NOL4L	1	UCS
NOL4L	COMMD7:DLGAP4-AS1	2	BRCA:OV
DLGAP4-AS1	COMMD7:NDRG3	2	SKCM:OV
ZNF718	COMMD7:GAK:PLEKHG4B	3	STAD:ESCA:HNSC
WFDC2	COMMD7:PI3	2	UCS:BRCA
SNTA1	EFCAB8	1	OV
SNAPC5	BPIFB4	1	BRCA
PLCG1	BPIFB1:EYA2:TAF4	3	BRCA:STAD
TFAP2A	CDK5RAP1:MAK	2	PRAD:BRCA
ZNF341	CBFA2T2:C20orf144:RALY-AS1:AL034549.1	4	LUAD:LIHC:UCS
JPH2	PXMP4:ZNF341-AS1:TMEM246-AS1:RNF20	4	BLCA:SARC
NECAB3	AL050349.1:ARHGAP40:MTG2	3	LIHC:BRCA:ESCA
AP4B1	C20orf194	1	OV
PXMP4	ZNF341-AS1	1	LUAD
SOGA1	RALY:PHF20:SAMHD1:RBL1:RPN2:RIPK1	6	SKCM:ESCA:OV:BRCA:CESC:HNSC:STAD
TMEM248	RALY	1	OV
DYNLRB1	RALY:CNBD2	2	LGG:PRAD
PHF20	RALY:DYNLRB1:NCOA6:CEP250:SPAG4:MROH8:RPN2:ZHX3:TOX2:ZFAS1:ADNP	11	OV:BRCA:SARC:STAD:CHOL:ACC:LUAD
RPRD1B	RALY:MANBAL:CTNNBL1	3	BRCA:LUSC:HNSC
B4GALT5	ASIP:EDEM2:TOX2:SPATA2:ZFP64:GNAS:TAF4:TFG	8	ACC:STAD:LUAD:UCEC:LUSC:BRCA
MANBAL	AHCY	1	OV
ITGB3	DYNLRB1	1	OV
PLEKHB2	MAP1LC3A:FAM168B:GABRR1	3	STAD:BRCA:SARC
TSHZ2	PIGU:SGK2:TOX2:NFATC2	4	OV:ESCA:UCS:BRCA
RPS14	GGT7:MB21D2	2	OV:BLCA
SLC2A10	ACSS2	1	LUSC
AIF1L	NRSN2:SYN2	2	SKCM
ACSS2	GSS	1	BRCA
GGT7	GSS:UQCC1	2	OV
RALGAPB	TRPC4AP:CNBD2:EPB41L1:DSN1:CTNNBL1:RPRD1B:LBP:KCNB1:CTCFL	9	CESC:BRCA:SKCM:ESCA:LIHC:LUSC
MBTPS2	EDEM2	1	BRCA
RANBP9	PROCR:AC024559.2:NEDD9:TPMT	4	BRCA:OV:LUSC
RABL6	MMP24-AS1:TMEM141:CCDC183	3	LUAD:OV
EIF6	UQCC1	1	LUAD:STAD
C2orf48	UQCC1:C9orf3	2	BRCA:UCS
TGIF2-C20orf24	ERGIC3:DLGAP4	2	STAD:BRCA
ARMC12	ERGIC3	1	SARC
ZBED4	SPAG4:RANGAP1:SUGCT	3	BRCA:SKCM:LUAD
RHOC	CPNE1	1	SKCM
RBL1	AL109827.1:MROH8:RPN2:CTNNBL1:STK4:BCAS1	6	BRCA:BLCA:LUSC:LUAD:UCEC
A2ML1	RBM39	1	HNSC
GDF5	RBM39	1	UCEC
C20orf24	PHF20	1	STAD
KIAA2026	PHF20:LINC01820:CMTM7:FAM240B:RIC1	5	LUSC:BRCA:LGG:GBM
BCAS4	PHF20:AL031686.1:PTPN1	3	LUAD:SKCM:BRCA
KIAA1755	CNBD2:HS6ST2	2	SKCM:BRCA
ZNFX1	CNBD2:AL031663.3:KCNB1:B4GALT5	4	BRCA:LUAD:UCEC:PAAD:ESCA
PLA2G6	CNBD2	1	OV
RTFDC1	CNBD2:PARD6B:TSHZ2:PCNT	4	PRAD:BRCA
ZGPAT	CNBD2	1	BRCA
AAR2	EPB41L1	1	BRCA
MYL9	AAR2	1	OV
AHCY	DLGAP4-AS1	1	SKCM
SS18L1	TGIF2-C20orf24:CDH4:JAM2	3	LUAD:BRCA:SKCM
CDH4	SLA2:GNAS	2	BRCA:STAD
TGIF2	NDRG3:RBM38	2	BRCA:OV
STX16-NPEPL1	DSN1:AL122058.1	2	LUSC:STAD
AC006270.1	SAMHD1	1	LUAD
EVA1C	MROH8:AP001595.1:TCP10L:TMEM50B:RCAN1:CBR3:ABCG1:CALM2	8	LUAD:OV:MESO:KIRP:GBM:PRAD:STAD
CTNNBL1	RPN2:MANBAL:TTI1:WFDC11:TSHZ2	5	STAD:CESC:BRCA:OV
PANK2	HSPA12B:PAK5	2	OV:COAD
ZNF337-AS1	CTNNBL1	1	OV
DHX35	VSTM2L:TOX2:DNTTIP1:AC026167.1	4	OV:SKCM:BRCA:BLCA
LINC01730	CDC25B	1	BRCA
HLCS	KIAA1755:GRIK1:IL10RB:LINC00649:TSPEAR:YBEY	6	PRAD:LUAD:BRCA:CESC:LGG
TGM2	KIAA1755	1	OV
AL391095.2	LBP	1	HNSC
SDHA	AL391095.1:MIF:CTNND2:PLEKHG4B:PDGFRB	5	SKCM:KIRP:LUAD:ESCA:STAD
MCM5	RALGAPB:TOM1:HMOX1:LYN	4	BRCA:KIRC:UCS:OV
POLD1	SLC32A1:ACTR5	2	OV
AL035458.2	ACTR5	1	CESC
NELFA	FAM83D:POLN:AF279873.3	3	STAD:BRCA:BLCA
ZNF107	FAM83D:FOXP2	2	BRCA:COAD
AL109804.1	RNF24	1	BRCA
PAM	AL035665.1:ARHGAP15:TMEM161B-AS1	3	SARC:SKCM
RNF24	AL356414.1:SNRPD3	2	LUSC:ESCA
ELMO2	TOP1:GNAS:STAP1	3	STAD:BRCA
ZNF813	TOP1	1	BRCA
LPIN3	PLCG1	1	STAD
ZBTB46-AS1	RBCK1	1	STAD
PRELID3B	PTPRT	1	BRCA
PTGIS	IFT52	1	SKCM
MYBL2	IFT52	1	LIHC
HNF4A	OSER1-AS1	1	STAD
TTPAL	R3HDML	1	LIHC
MIR762HG	PKIG	1	ESCA
LINC02256	PKIG	1	HNSC
PABPC1L	YWHAB	1	CESC
SDC4	YWHAB:SPCS1:NRG1	3	STAD:LUAD:GBM:LUSC
AC112251.1	YWHAB	1	BRCA
AC020656.1	PI3	1	HNSC
SMIM4	AL121781.1:NISCH:STAB1	3	MESO:ESCA:UCS
DMPK	SLPI	1	ESCA
KIZ	SLPI	1	CESC
SLPI	MATN4:EYA2	2	BRCA:OV
ACSS1	SYS1-DBNDD2	1	LUSC
ZSWIM3	WFDC13	1	OV
AAK1	WFDC13:AC012499.1:GALNT14:AC092431.1:ANXA4:KCMF1:RPIA	7	LUSC:STAD:HNSC:UCEC:OV:BRCA:PRAD:LIHC
C22orf29	DNTTIP1:GGT1	2	BRCA:COAD
WFDC3	NEURL2	1	LUAD
SPP1	CTSA	1	KIRP
ZNF350	SLC12A5	1	OV
TNNC2	NCOA5	1	STAD
ASF1B	EYA2	1	OV
SYCP2	ZMYND8:BCAS1:AC074033.2	3	BRCA
AC126768.2	SLC23A2:NDUFS6	2	KIRC:LUSC
ATP11C	PREX1:LINC00890:AL844175.1:AC239727.1	4	BRCA:STAD:HNSC
PTP4A2	ARFGEF2	1	BLCA
AC138904.1	CSE1L	1	BRCA
AL117382.1	CSE1L	1	COAD
ZFP64	CSE1L	1	STAD
GINM1	STAU1:TAB2	2	ESCA:SARC
PREX1	KCNB1:PFDN4:APCDD1L-AS1:EHBP1	4	UCS:BRCA
SLC35C2	B4GALT5	1	PRAD
ZBTB49	SLC23A2	1	SKCM
SNAI1	SLC9A8:PFDN4	2	BRCA:LUAD
ZC3H7B	SLC9A8:MICALL1:AL022238.2:RBX1:L3MBTL2:RANGAP1:GRAMD4:USP49	8	OV:SKCM:PAAD:LUAD:BRCA:LIHC:ESCA
BAG2	RNF114	1	LUAD
PARD6B	LINC01270:PTPN1:CASS4	3	LUAD:OV:BRCA
G3BP2	PTPN1:NAAA:SDAD1	3	BRCA:LUAD:HNSC
BABAM2	PTPN1:DTNB:GPN1:MRPL33:C2orf91:PRKCE	6	BRCA:BLCA:UCEC:STAD:THCA
ADAMTS15	AL353653.1	1	BRCA
RAE1	AL353653.1:RTFDC1:PSMA7	3	BRCA
MIATNB	TMEM230	1	BRCA
TMEM175	ATP9A	1	UCEC
DDX27	ATP9A	1	SKCM
CDH23	TSHZ2:LTBP1:NSD1	3	OV:BRCA
PFDN4	TSHZ2	1	LIHC
MYO3B	TSHZ2	1	OV
TSTD3	TSHZ2	1	BRCA
AC105105.2	ZNF217	1	LIHC
ITPA	BCAS1	1	OV
SNHG17	BCAS1	1	BRCA
GFOD1	BCAS1:RANBP9:LINC00240	3	BRCA:PRAD:BLCA
OVOL2	CBLN4:KIAA0922	2	BLCA:BRCA
TRAM1	AL139824.1:ZFPM2:CLVS1:LACTB2:MSC-AS1	5	LUAD:BRCA:CESC
SPATA2	RTFDC1	1	COAD
AMBP	RAE1:KIF12	2	LIHC
AURKA	PCK1	1	BRCA
MORF4L1	PMEPA1:SF3B6	2	PRAD:OV
FAM118A	VAPB:NUP50:UPK3A	3	SARC:OV:ESCA
MKLN1	APCDD1L-AS1:AMTN:IMMP2L:AC006148.1:GRM8:NRF1:EXOC4:CDK14	8	OV:PRAD:LUAD:KIRP:SKCM:COAD
PRRT2	GNAS	1	PCPG
EDN3	GNAS	1	SKCM
WDR33	GNAS	1	BLCA
MAT2A	GNAS	1	PCPG
NELFCD	GNAS	1	BRCA
KCNB1	PHACTR3:ZFPM2	2	PRAD:LGG
MSC-AS1	PHACTR3	1	SKCM
NFATC2	PHACTR3:AC027018.1:CASC9	3	SKCM
LRRN4	MCM8	1	LUAD
UBE2C	CDH26	1	BRCA
COQ4	MIR646HG:DNM1	2	OV:BRCA
CENPV	FERMT1	1	BRCA
NCOA5	CDH4	1	BRCA
PRPF40B	CDH4	1	SARC
MTX2	TAF4	1	OV
RPL23	PSMA7:BRD2	2	TGCT:PRAD
LRRCC1	MTG2:ZC2HC1A	2	LUAD:PRAD
COQ7	OSBPL2	1	BRCA
NTSR1	OSBPL2	1	STAD
DNAAF5	LAMA5:ZNRF3:PLCXD2:LINC02008:BRAT1	5	SARC:BLCA:PRAD:SKCM
PPP3CA	OGFR-AS1:SLC39A8:INTS12:SEPT11:RASGEF1B	5	CESC:STAD:PRAD:LUAD
ERAL1	DIDO1	1	BRCA
LSM14B	AL096828.1	1	LUAD
SLCO4A1	YTHDF1	1	STAD
AL121845.1	GMEB2	1	OV
GMEB2	ARFRP1:ZBTB46-AS1	2	OV
STMN3	ARFRP1	1	BRCA
PPP1R16B	ZBTB46	1	STAD
OPRL1	PRPF6	1	BRCA
STX16	MYT1	1	BRCA
TMEM230	PLCB1	1	GBM
AC116351.1	DEFB125	1	KIRC
MIR130B	TPTE	1	OV
CEP95	RBM11	1	BRCA
MIR99AHG	NRIP1:USP25:MIR548XHG	3	BRCA:LUSC
RHOH	AP001172.1:BCL6:N4BP2	3	BRCA:DLBC
LINC02246	AP000473.1:PSMG1	2	LUAD:CESC
MIR548XHG	CXADR:AL157359.2	2	LUSC:BLCA
ABCG1	BTG3:BACE2:MEI1:CCDC134	4	PAAD:UCEC:LUSC
PRDM15	AP000432.1:LINC01671	2	READ:BRCA
TEC	NCAM2:PASD1	2	LUAD:BRCA
DONSON	AP000477.1	1	LUSC
APP	AP000146.1:AP001596.1:CYYR1:LINC00314:AF165147.1:CCT8:AF124730.1:LINC00159:RCAN1:TSPEAR	10	LUSC:SKCM:ACC:LGG:BRCA:ESCA:LIHC:READ
ATP5J	LINC01692:HCN1	2	SARC:KIRP
SAMD3	AP001341.1:GRIK2	2	SARC:UVM
MCM3AP	APP	1	BRCA
C2CD2	APP:AP000695.2:ZBTB21:SH3BGRL	4	BLCA:BRCA:UCS
CRCP	CYYR1:PCBP3:AC019117.2:ADAM22:STMN4	5	BRCA:UCEC:GBM:CESC:TGCT
PAXBP1	ADAMTS1:GART:TP53I3	3	BRCA:LUSC
LINC01671	AP001605.1	1	LUAD
THOC2	LINC01673:RHOXF2	2	KIRC:BRCA
LINC01695	AF165147.1	1	UCS:OV
LTN1	RWDD2B	1	BRCA
PCBP3	GRIK1:CCDC171	2	KIRP:SKCM
SIM2	GRIK1:MORC3:KCNJ6	3	LIHC:ESCA:LGG
SERPINA1	SOD1	1	LIHC
SIK1	HUNK	1	HNSC
AC007161.3	MRAP:SOGA3:AC004949.1:MIOS:BEX5	5	BRCA:SKCM:SARC:CESC
SCAF4	URB1	1	STAD
SYNJ1	PAXBP1:PDE9A	2	OV:ESCA:LGG
IFNAR2	C21orf62-AS1	1	LUAD:LGG
MORC3	IL10RB:DOPEY2:FAM3B	3	OV:BLCA:LIHC:LUSC
C21orf58	IFNGR2	1	READ
URB1	TMEM50B	1	BRCA
NUDCD3	IFNGR2	1	PAAD
TTC31	TMEM50B	1	STAD
TMEM50B	DNAJC28:DONSON:CRYZL1:XXYLT1	4	OV:ESCA:KIRC:CESC
DNAJC28	GART	1	UCS
INO80D	LINC00649:AC007364.1:AC019197.1	3	BRCA:PRAD:COAD
KBTBD2	LINC00649:HDAC9:NT5C3A:COBL	4	BRCA:OV:BLCA
PID1	AP000317.2:MRPS6	2	SARC
MBNL1	AP000317.2:AP000317.1:SGSM3:ATXN10:DZIP1L:NMNAT3:SERP1:AADACL2:NAALADL2:DCUN1D1:ABCC5	11	BLCA:LUAD:ESCA:BRCA:PRAD:SKCM:LUSC:STAD
AP001065.1	AP000317.1:CDV3	2	BLCA:SARC
RPS19BP1	KCNE1	1	BRCA
RCAN1	RUNX1	1	BRCA
RUNX1T1	RUNX1:GOLPH3:TMEM74:TRIQK	4	LAML:ESCA:SARC:THCA
AP001628.1	RUNX1	1	BLCA
KIAA1958	SETD4:PLSCR1:HSDL2:WDR34	4	OV:STAD:ESCA:LUAD:LUSC
CHAF1B	DOPEY2	1	CESC
AC245748.2	AP000695.2	1	LUAD
NRAS	CLDN14	1	CHOL
PTTG1IP	SIM2:SPTBN1	2	BRCA:STAD
TCTA	DSCR3:ARIH2	2	LUSC:BRCA
CYP4F3	DSCR4-IT1	1	BLCA
GUCA2A	ERG	1	PRAD
UMODL1	WRB	1	BRCA
B3GALT5	SH3BGR	1	LGG
AF064860.1	SH3BGR	1	KIRC
PALM2	PCP4	1	SARC
PALM2-AKAP2	PCP4	1	SARC
GART	PCP4	1	LUSC
SLC37A1	PCP4:ABCG1:WDR4:PCNT	4	BRCA:OV:LAML
IGSF1	DSCAM	1	KIRC
PLAC1	DSCAM	1	KIRC
AP000275.2	BACE2	1	BLCA
MX2	BACE2	1	HNSC:STAD
MX1	FAM3B	1	BRCA
RWDD2B	MX2	1	BLCA
NDUFS4	TMPRSS2:STARD4-AS1:UBE2D2:GZMA:AC008780.1:HMGCR:EXTL3	7	KIRP:LGG:LUAD:CESC:LUSC:SKCM
MESDC2	TMPRSS2	1	PRAD
Z93930.2	TMPRSS2:PITPNB:SFI1	3	PRAD:OV:LIHC
AFF3	TMPRSS2:NPAS2:AL022068.1	3	PRAD:LUAD:BLCA
INPP4B	TMPRSS2:SPRY1:ELF2	3	PRAD:OV:BRCA
AL773572.1	PRDM15	1	STAD
NUBP1	UMODL1	1	BRCA
C21orf2	UMODL1	1	PRAD
PLOD2	ABCG1:XRN1:PLSCR4	3	BRCA:MESO
ZBTB21	TFF1:AIRE:PFKL	3	ESCA:KIRC
TMPRSS3	RSPH1	1	OV
LINC00649	RSPH1	1	BLCA
WDR4	LINC01679	1	UCEC
FTX	PDXK:LINC01204:PDZD11	3	BRCA:STAD:HNSC
FAM207A	PDXK:FER	2	STAD:SARC
THEM6	AGPAT3	1	BRCA
PFKL	AIRE	1	LGG
DOPEY2	TRPM2:MYOSLID:ELF2	3	BRCA:PRAD
AP001347.1	SUMO3	1	SARC
SGSM1	LINC01547:GAL3ST1	2	SARC
RRP1B	FAM207A	1	PRAD
LINC00205	ADARB1:BX322557.1	2	BRCA
COL18A1	ADARB1:BX322557.1:ACTB	3	KIRC:KIRP:LUAD
FAM20C	ADARB1:PAX8-AS1:MKRN1:MAD1L1:SEPT7-AS1	5	BRCA:OV:LUSC:STAD:HNSC
AP000695.1	LINC00334	1	SARC
MIR155HG	LINC00316	1	SKCM
POFUT2	LINC00316	1	OV
ELK1	PCBP3	1	UCS
CTNNB1	COL6A2:IGF2BP2:THRB:AC099754.1:AC099560.1:ULK4:DOCK3:C1QTNF3-AMACR:SEM1:RIDA	10	BRCA:UCS:ESCA:LUSC:SKCM:KIRP:STAD:MESO:LIHC:BLCA
ITIH4	FTCD	1	LIHC
GLUL	FTCD	1	LIHC
FTCD	SPATC1L	1	LIHC
POMK	SPATC1L:LSS:ST6GAL1:ANK1:CHRNA6:NKAIN3	6	SKCM:LUSC:HNSC:COAD:BRCA
INPPL1	FP236383.1	1	OV
EXOC1	XKR3:IDO1	2	OV:LUAD
IL17RA	ATP6V1E1:SCARF2	2	LAML:LUSC
ATP6V1E1	BID:ADORA2A-AS1	2	ESCA:PAAD
NANP	PEX26	1	BRCA
USP18	TUBA8:YWHAH:BAG6	3	UCS:SKCM:OV
PDGFB	DGCR2:RPL3	2	LGG:BRCA
ZMAT5	HIRA:ASCC2:EIF4ENIF1	3	LUSC:GBM:OV
H2AFV	CDC45:AC002429.2	2	PRAD:GBM
LIMK2	CDC45:MED15:TTC28-AS1:HORMAD2-AS1:ATXN10	5	BLCA:THYM:BRCA:OV:HNSC
C22orf39	GNB1L:MAPK1:CABIN1:ADAM2	4	LIHC:ESCA:BRCA:LUAD
TMEM265	GNB1L	1	UCEC
RPL10A	GNB1L:AUP1:DEF6	3	BRCA:LUAD
EIF4ENIF1	COMT:SHANK3	2	COAD:BRCA
PITPNB	TANGO2:TTC28:RFPL3S:SBF1	4	LUSC:ESCA:LUAD:BLCA:BRCA
ACO2	TANGO2:ZC3H7B:TEF:PRR5:C1QTNF7:RASGEF1C:AHRR:UBE2A	8	SKCM:LUAD:LUSC:BRCA:UCEC:OV
WNT7B	DGCR8:AL121672.1:AL121672.2	3	LUAD:BRCA
RTCB	AC007663.2:FAM83F	2	SKCM
TXNRD2	RTN4R:SPECC1L-ADORA2A:EVX1	3	UCEC:PAAD:SARC
NOL6	AC007731.3:USP41	2	SKCM
RPGRIP1L	KLHL22	1	BRCA
ZNRF3	MED15:CRYBB2:HSCB:XBP1:ASCC2:SLC5A1:MYH9:ZC3H7B:FAM19A5:PREPL:ZBTB38	11	LUSC:LGG:LIHC:SKCM:BRCA:ESCA:SARC:OV
PISD	MED15:PRR14L:MGAT3-AS1	3	COAD:OV:LUSC:SKCM
POLDIP3	MED15:ARFGAP3	2	SKCM:STAD
FREM2	SNAP29	1	SKCM
THAP7-AS1	CRKL	1	LUSC
TSPO	LZTR1:PRR5:CDH18	3	SKCM:BLCA
PPIL2	THAP7-AS1	1	LUSC
HPS4	UBE2L3:CABIN1	2	SKCM:ACC
AC007216.4	PPIL2	1	LUSC
TBC1D22B	YPEL1:CCND3	2	BRCA
COMT	YPEL1:ZDHHC11	2	ACC:SKCM
KREMEN1	MAPK1:HSCB:ZNRF3	3	HNSC:CESC:LUSC
CERK	TOP3B:FBXO7:SLC25A17:KIAA1644	4	STAD:SKCM:BRCA
PPM1F	TOP3B	1	OV
SYN3	IGLV6-57:C6orf48	2	BLCA:SKCM
CBX7	VPREB1	1	HNSC
